System	Subsystem	Description	RE_786_0	RE_A498	LC_A549_ATCC	RE_ACHN	OV_NCIADR_RES	BR_BT_549	RE_CAKI_1	LE_CCRF_CEM	CO_COLO205	PR_DU_145	LC_EKVX	CO_HCC_2998	CO_HCT_15	CO_HCT_116	LE_HL_60	LC_HOP_62	LC_HOP_92	BR_HS578T	CO_HT29	OV_IGROV1	LE_K_562	CO_KM12	ME_LOXIMVI	ME_M14	ME_MALME_3M	BR_MCF7	BR_MDA_MB_231	ME_MDA_MB_435	LE_MOLT_4	LC_NCI_H23	LC_NCI_H226	OV_OVCAR_3	LC_NCI_H322M	LC_NCI_H460	LC_NCI_H522	OV_OVCAR_4	OV_OVCAR_5	OV_OVCAR_8	PR_PC_3	LE_RPMI_8226	RE_RXF393	CNS_SF_268	CNS_SF_295	CNS_SF_539	ME_SK_MEL_2	ME_SK_MEL_5	ME_SK_MEL_28	OV_SK_OV_3	RE_SN12C	CNS_SNB_19	CNS_SNB_75	LE_SR	CO_SW_620	BR_T_47D	RE_TK_10	CNS_U251	ME_UACC_62	ME_UACC_257	RE_UO_31
ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I)	6.343129732	5.898284977	7.122633669	5.152696243	4.95588581	3.357858399	4.154073456	7.420081687	7.49672235	5.407338912	7.619886847	6.617425714	6.102262377	6.254756523	7.706340926	6.259561109	5.230587615	0.978008826	6.529787168	5.94647926	8.062609847	7.378891769	5.101208963	7.44505426	4.53706987	7.708939167	2.215617707	5.55811025	6.381956353	6.648019564	4.753989897	5.113193585	7.662764717	6.35794314	6.633222443	5.591189853	6.484530702	6.549292032	5.952293504	7.95692721	3.222100533	4.550227873	6.119083105	4.325757904	5.896866019	6.293567558	6.572966824	3.888769458	5.818416255	6.874981425	4.265098566	3.81115056	8.468161036	6.716575553	4.151194977	6.191481165	7.972297242	6.763226385	5.007462806
ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II)	10.28978908	9.033359223	9.97658898	10.79247478	10.45039233	9.36128587	10.31227891	9.860091983	11.81619847	10.96253425	10.24474642	11.16218287	11.01841875	10.77409314	11.02201195	10.37530286	9.353635664	9.17992176	11.13573573	10.00584791	11.95225294	10.38794738	10.14690562	10.45287962	10.44523644	10.80009933	9.99444169	11.30786754	10.35946918	10.36205114	10.33790059	9.638163861	10.96655078	10.4597502	10.39887396	10.27905654	10.6568105	10.20025934	10.74969302	11.47943228	8.852252942	9.982969671	10.22839027	9.875650669	9.121029416	11.75721356	10.30978103	9.583460111	11.19229592	10.08231027	9.782940447	9.723358367	11.07728455	11.82708736	9.544436377	10.68038718	10.94927216	11.17862199	10.23166431
ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - oxidative decarboxylation of pyruvate	9.4234548	5.295187744	9.590295693	8.102131503	7.621709884	6.129637597	7.786245081	8.689142863	11.4932649	7.53300301	8.862097378	10.54129294	10.32519305	10.87990751	9.882541191	10.0950429	6.836772958	6.208754257	9.161470136	7.983540634	12.23377979	10.86055083	9.118437022	7.946208753	6.401673625	9.682181273	10.28947846	10.61224949	7.94911383	10.01809085	8.494988194	8.008952543	8.333815284	11.2085089	7.95167307	9.177294042	7.462955714	10.22134738	8.004971486	10.29512251	5.249230315	9.705520857	7.898835705	3.637147694	7.115985434	11.87807719	7.009702578	4.490328283	9.662227371	10.03613622	3.533564243	8.012786111	11.18905422	8.360915252	5.104196897	9.859150068	6.365694425	9.408777205	8.592682597
ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - NADH generation	76.35229855	76.21868774	76.63925274	77.79961808	76.60326193	75.89610201	76.19815317	77.42739239	78.96371152	77.20358782	76.33295834	77.44875589	77.28396029	77.90994127	78.17561586	76.09886619	76.11905906	74.44795478	77.46116507	77.08515274	78.20541514	77.22136861	77.63480516	75.82926225	75.94930046	78.54148201	75.43112853	76.53694117	77.16762407	77.13591977	76.3835252	75.48942709	76.38925515	77.38982413	75.70478112	76.65190124	75.84905365	77.24320403	76.78186245	76.09077413	75.73233909	76.40325372	76.62763493	75.50589489	75.59222719	78.03173926	75.61566985	75.10636563	76.26542788	76.77136302	74.07284125	76.06615585	77.26855103	77.36944036	75.81673505	77.20243142	76.23818505	77.35534438	76.98613677
ENERGY METABOLISM	ATP GENERATION	ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle	60.98042734	52.96522209	61.54461993	57.11077342	56.79777723	51.32660914	57.75594866	61.26781647	63.71259998	59.09357016	55.2643875	63.25129942	63.94970068	63.89646061	64.06994955	60.66600539	58.22959633	52.93361848	61.72357756	61.9350692	65.79400524	63.83005004	57.00941252	52.33638072	51.15024608	61.4870863	60.41329031	60.73324629	61.52868941	61.93776998	55.62625884	59.8647834	61.56058827	62.97916152	61.75842725	56.80218386	60.03047765	61.50378251	61.22347066	61.15430562	48.58271327	61.44669225	60.46297175	54.55500402	53.1386271	59.28930817	45.27275962	52.22363126	59.32811727	57.8653853	49.34095923	65.11041201	61.69171036	57.53364524	52.10770333	59.58063916	58.66078143	57.96289591	55.19757006
ENERGY METABOLISM	ATP GENERATION	ATP generation from glucose (hypoxic conditions) - glycolysis	22.35358164	20.0598497	23.24324086	21.0682506	18.5621706	19.93594695	20.42452615	24.73885734	24.26741688	20.6985494	18.97372314	23.46241875	24.65766127	24.86308194	25.48665904	23.23751869	19.74994773	19.76094422	24.02473805	23.31125818	24.81302524	23.44637188	23.1491822	19.23150109	18.56326758	22.22810456	24.31420836	22.82707964	25.217286	23.90510633	19.02123157	22.7610686	23.46067672	22.98610774	24.00990771	17.87913821	24.34558578	23.99310664	20.12933814	20.48874871	19.28869688	23.80128095	22.30744088	19.70392788	19.79419785	20.46073013	16.2374437	20.39239592	23.2598091	21.56497494	18.82621502	26.5205538	23.42323089	18.53540109	15.37878897	22.28619091	18.77214738	21.62400686	20.87465033
ENERGY METABOLISM	OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION	Reactive oxygen species detoxification (H2O2 to H2O)	65.80580891	64.91155612	65.27663007	65.27046262	64.99475509	64.82202324	64.87027619	65.15998212	67.30308454	64.69556423	64.97727942	67.01657888	66.39833246	65.91004221	65.59393975	65.82074966	64.71652303	64.48452972	66.18931495	65.16826388	66.33965732	66.77767647	64.87329159	65.84105283	65.10687512	66.38582978	64.30401177	65.46452145	65.28982072	65.85104501	64.73122343	65.15444401	65.64494893	65.33893825	65.24747585	65.74975716	65.38189708	65.79701867	65.38495103	65.37747527	64.30778622	65.6728276	65.23594315	64.48680735	65.25300278	66.26131373	65.90399039	64.39965464	64.95628087	65.62444508	64.69541937	64.8589297	65.84306031	67.76766686	64.90530209	65.52250158	65.33550248	65.56539892	65.8709974
ENERGY METABOLISM	REDOX METABOLISM	Presence of the thioredoxin system through the thioredoxin reductase activity	27.27288352	24.17599209	27.35983548	27.01811653	25.95535552	27.90179313	26.9539781	29.18402013	29.08032383	25.41582169	26.92471564	28.2614753	29.10182015	29.23350434	29.29342983	27.60097161	27.44291919	25.69103347	27.97040087	27.4743624	29.71974878	28.14912265	28.20951809	27.79525522	27.6507979	29.22887574	27.43770063	27.70784525	29.22447991	27.15363943	26.47440858	27.82911532	28.41781253	28.63586091	28.73490527	27.13911434	27.21372718	27.24960925	27.32696575	26.81419602	26.36272018	28.06938254	27.91730654	25.05577224	26.73356813	28.96205244	27.05792613	25.93087643	26.21693753	28.04252074	27.24551204	27.30364332	28.5434937	26.52540507	24.6614014	29.08748435	26.74649138	28.13089803	26.09470647
NUCLEOTIDE METABOLISM	IMP SYNTHESIS - PURINE METABOLISM	Inosine monophosphate synthesis (IMP)	15.56541705	12.26883637	15.88804072	16.12267215	13.26310518	14.47980849	15.16105049	16.36750771	16.23081814	13.96132967	14.37637449	16.0227116	16.07082216	16.72061718	16.85921357	16.21412747	14.57622897	13.00485835	15.8815217	15.81574418	17.19218491	16.23800765	16.34281865	14.33711561	13.92429344	15.95831934	14.25728804	16.11390548	16.3610149	16.48464165	13.97136993	15.01663604	16.51796044	15.38810029	15.00582844	14.00093818	15.99459873	16.4606602	14.47335805	15.97972557	13.44689604	15.88492632	14.07649767	12.37229099	15.41710077	15.52471319	14.3599117	12.96381613	16.13324976	14.73579788	12.53209534	14.37363432	16.64090391	12.67059701	12.91455064	15.15210599	13.16136624	15.37095771	15.09068758
NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Cytidine triphosphate synthesis (CTP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUCLEOTIDE METABOLISM	IMP SYNTHESIS - PURINE METABOLISM	Guanosine triphosphate synthesis (GTP)	2.833148716	0.565400886	1.882132927	1.524400257	1.206517055	0.556340508	2.267234944	1.495988334	1.099571966	1.489803596	1.020866558	2.719165665	2.178489318	2.961071953	2.379806981	2.687203962	2.421748446	2.077133534	1.483714675	2.517535457	2.222934564	2.608665092	1.164957716	2.664198836	1.762258291	3.426002942	2.348233108	2.058245103	1.995587847	1.540272745	1.229847273	0.536482504	1.516357361	2.602527122	1.823371074	1.733761958	1.714364786	1.5391834	2.949302472	3.281222816	0.507906323	2.02126101	1.78298663	1.378287824	1.723817556	2.931234186	2.074037743	0.326002942	2.505892591	2.515798209	1.148761277	3.008717931	1.272864394	1.262690717	1.701182009	1.472287397	2.921219063	1.815831215	1.475006765
NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Uridine triphosphate synthesis (UTP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyadenosine triphosphate synthesis (dATP)	3.935667887	4.1273991	4.659580293	3.08229314	3.623246334	3.181649175	3.297659843	5.182092064	5.056191558	4.190243871	3.156538566	4.352611906	5.457955463	4.864558991	4.518083561	4.185411524	3.454476747	3.692601228	4.903459407	4.565081415	5.044968325	4.766211841	2.565604354	2.237709578	2.219776684	3.956445299	5.023378798	4.138817215	4.692527581	4.62898798	3.087798187	4.628885373	4.544720628	4.624977898	4.802452885	2.114619144	4.709248807	4.57160004	2.916840911	3.352008244	3.037845895	5.249099241	4.843179465	3.908455493	2.974406491	2.990530129	2.700115648	4.062029877	3.953841558	4.190678371	3.042954156	6.246416871	4.256321765	3.440351352	1.304011767	4.233302276	3.29229826	3.872179246	3.093537453
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxycytidine triphosphate synthesis (dCTP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyguanosine triphosphate synthesis (dGTP)	2.833148716	0.565400886	1.882132927	1.524400257	1.206517055	0.556340508	2.267234944	1.495988334	1.099571966	1.489803596	1.020866558	2.719165665	2.178489318	2.961071953	2.379806981	2.687203962	2.242961351	2.077133534	1.483714675	2.517535457	2.222934564	2.608665092	1.164957716	2.664198836	1.762258291	3.426002942	2.348233108	2.058245103	1.995587847	1.540272745	1.229847273	0.536482504	1.516357361	2.602527122	1.823371074	1.321636965	1.714364786	1.5391834	2.724329301	2.233770808	0.507906323	2.02126101	1.78298663	1.378287824	1.723817556	2.721526034	2.074037743	0.326002942	2.505892591	2.515798209	1.148761277	3.008717931	1.272864394	1.262690717	0.815007355	1.472287397	2.602274759	1.815831215	1.475006765
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyuridine triphosphate synthesis (dUTP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxythymidine triphosphate synthesis (dTTP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUCLEOTIDE METABOLISM	SALVAGE	AMP salvage from adenine	37.87497638	33.82232829	39.4311845	35.14822394	32.66801365	30.34500924	34.50123497	41.57909133	42.23361041	36.95067965	32.64720318	40.473898	41.1319694	41.53169296	42.33806543	39.77723446	32.60557145	27.10886428	40.5560737	39.6100709	42.57378827	40.04412007	41.29308593	32.26792227	27.03324568	38.54476233	36.85171775	36.82291834	42.27910378	39.9645454	29.44082777	37.43758372	40.50187916	38.15492935	40.37269421	28.83318832	40.29622766	39.87437049	36.25583763	35.31685469	30.34584869	35.92881787	37.14932464	30.94029329	32.14028481	32.52177447	22.38294378	33.50327007	35.8200351	32.0431457	26.29427856	42.569335	38.91402476	32.44922951	26.32657356	36.40431687	32.27413365	33.49518521	33.60570168
