System	Subsystem	Description	BR_MCF7	BR_MDA_MB_231	BR_HS578T	BR_BT_549	BR_T_47D	CNS_SF_268	CNS_SF_295	CNS_SF_539	CNS_SNB_19	CNS_SNB_75	CNS_U251	CO_COLO205	CO_HCC_2998	CO_HCT_116	CO_HCT_15	CO_HT29	CO_KM12	CO_SW_620	LE_CCRF_CEM	LE_HL_60	LE_K_562	LE_MOLT_4	LE_RPMI_8226	LE_SR	ME_LOXIMVI	ME_MALME_3M	ME_M14	ME_SK_MEL_2	ME_SK_MEL_28	ME_SK_MEL_5	ME_UACC_257	ME_UACC_62	ME_MDA_MB_435	LC_A549_ATCC	LC_EKVX	LC_HOP_62	LC_HOP_92	LC_NCI_H226	LC_NCI_H23	LC_NCI_H322M	LC_NCI_H460	LC_NCI_H522	OV_IGROV1	OV_OVCAR_3	OV_OVCAR_4	OV_OVCAR_5	OV_OVCAR_8	OV_SK_OV_3	OV_NCIADR_RES	PR_PC_3	PR_DU_145	RE_786_0	RE_A498	RE_ACHN	RE_CAKI_1	RE_RXF393	RE_SN12C	RE_TK_10	RE_UO_31
ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I)	1000	1070.445	5716.719008	1952.01	1548.25	1338.335	10088.5575	1000	7226.3325	2381.525	1486.645	1000	1768.87	2029.795	0	2850.88	1000	5000	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	7396.0575	4375.343424	3646.715	1000	3288.855	1677.035	1000	1000	2391.335	8695.395	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	5000	6215.351782	2878.315	1234.02	1831.445
ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II)	1000	1070.445	257.5754902	1952.01	1548.25	1338.335	2711.466411	1000	2138.112807	2301.916171	1486.645	1000	1107.054561	1752.357099	1069.57	1019.106222	1000	1023.273671	1900.985	1683.765	3430.495	1000	1000	994.6811215	1256.277515	2036.56	1000	2671.248382	228.2288619	432.4719962	1000	1926.878141	1677.035	5.623994096	1000	683.1401755	2002.196242	1615.75	1273.86	1712.735	1043.17	1000	1000	730.985166	920.5546699	1330.325	1000	1516.295	2499.346864	268.4551692	1841.35	1253.145317	2644.8308	2040.64	3031.472497	542.8539417	2878.315	1234.02	986.1749041
ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - oxidative decarboxylation of pyruvate	1000	1070.445	632.4818313	1952.01	1548.25	1338.335	10088.5575	1000	7226.3325	2381.525	1486.645	1000	1768.87	2029.795	0	2850.88	1000	4242.832536	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	7396.0575	4145.866931	3646.715	1000	3288.855	1677.035	1000	1000	2391.335	8007.422488	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	5000	5401.878376	2878.315	1234.02	1831.445
ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - NADH generation	1000	1070.445	1931.605741	1952.01	1548.25	1338.335	3000.044902	1000	5387.13062	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2483.914083	1000	2861.740453	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	2999.978485	3216.310398	1121.189884	1000	2489.275332	1677.035	1000	1000	2250.370416	2999.421091	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1496.76026	1841.35	2340.38	2950.14839	2040.64	2999.999883	1239.344314	2878.315	1234.02	1831.445
ENERGY METABOLISM	ATP GENERATION	ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle	1000	1070.445	2201.6215	1952.01	1548.25	1338.335	6123.25316	1000	1454.5268	2381.525	1486.645	1000	515.157802	2029.795	1069.57	806.9415802	1000	269.6103349	1900.985	1683.765	3430.495	1000	1000	1586.395	1151.761804	2036.56	1000	4064.166183	736.8573613	419.8810249	1000	3288.855	1677.035	1000	1000	368.3287143	4714.541341	1615.75	1072.532455	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	338.026662	1841.35	2208.470915	3960.4	2040.64	5000	1955.854442	2878.315	1234.02	1831.445
ENERGY METABOLISM	ATP GENERATION	ATP generation from glucose (hypoxic conditions) - glycolysis	1000	1070.445	20.99485419	1952.01	1548.25	1338.335	2323.759003	1000	2017.645627	2381.525	1486.645	1000	632.2070957	2029.795	1069.57	439.4679722	1000	2258.056073	1900.985	1683.765	3430.495	1000	1000	1586.395	1402.609541	2036.56	1000	2612.837954	111.5999164	108.3936922	1000	1781.71493	1677.035	1000	1000	249.2949906	4929.765773	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	155.7250102	1841.35	1423.635325	2229.726063	1223.954636	4372.848485	286.711552	2878.315	1234.02	1831.445
ENERGY METABOLISM	OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION	Reactive oxygen species detoxification (H2O2 to H2O)	1000	1070.445	4732.99515	1000	1548.25	1338.335	4633.480625	1000	3000	1000	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	4000	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	5000	2983.511939	3344.073532	1000	3288.855	1677.035	1000	1000	2391.335	5000	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4000	1817.365	1841.35	2340.38	3039.6	2040.64	5000	3085.053641	2878.315	1234.02	1831.445
ENERGY METABOLISM	REDOX METABOLISM	Presence of the thioredoxin system through the thioredoxin reductase activity	1000	1070.445	4590.409271	1952.01	1548.25	1338.335	10088.5575	1000	7226.3325	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	5000	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	7396.0575	6706.245	3646.715	1000	3288.855	1677.035	1000	1000	2391.335	8695.395	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	5000	6454.058292	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	IMP SYNTHESIS - PURINE METABOLISM	Inosine monophosphate synthesis (IMP)	1000	1070.445	708.7058447	1952.01	1548.25	1338.335	2762.150737	1000	2544.052025	2381.525	1486.645	336.0705862	599.8738384	2029.795	1069.57	672.8564622	1000	2040.608382	1900.985	1683.765	3430.495	1000	1000	1586.395	1669.59452	2036.56	1000	2593.085821	1988.920899	1177.798393	1000	1574.107079	1677.035	1000	1000	2391.335	3989.689847	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4977.348919	1629.312076	1841.35	2340.38	3619.973307	2040.64	4724.204385	1525.346637	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Cytidine triphosphate synthesis (CTP)	1000	1070.445	32.63818913	1952.01	1548.25	1338.335	4724.697058	1000	3178.500594	2381.525	1486.645	1000	1768.87	2029.795	1069.57	1175.395841	1000	3494.920818	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	3974.257979	1702.089304	725.0493037	1000	3288.855	1677.035	1000	1000	1275.51374	8228.544275	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1352.364394	1841.35	2340.38	3806.730251	2040.64	5000	2376.077778	2878.315	1234.02	1831.445
